PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
1,A,1,Cassava,Manihot Mill.,DS120xT14_1,leaf,none
1,B,1,Cassava,Manihot Mill.,DS120xT14_2,leaf,none
1,C,1,Cassava,Manihot Mill.,DS120xT14_3,leaf,none
1,D,1,Cassava,Manihot Mill.,DS120xT14_4,leaf,none
1,E,1,Cassava,Manihot Mill.,DS120xT14_5,leaf,none
1,F,1,Cassava,Manihot Mill.,DS120xT14_6,leaf,none
1,G,1,Cassava,Manihot Mill.,DS120xT14_7,leaf,none
1,H,1,Cassava,Manihot Mill.,DS120xT14_8,leaf,none
1,A,2,Cassava,Manihot Mill.,DS120xT14_9,leaf,none
1,B,2,Cassava,Manihot Mill.,DS120xT14_10,leaf,none
1,C,2,Cassava,Manihot Mill.,DS120xT14_11,leaf,none
1,D,2,Cassava,Manihot Mill.,DS120xT14_12,leaf,none
1,E,2,Cassava,Manihot Mill.,DS120xT14_13,leaf,none
1,F,2,Cassava,Manihot Mill.,DS120xT14_14,leaf,none
1,G,2,Cassava,Manihot Mill.,DS120xT14_15,leaf,none
1,H,2,Cassava,Manihot Mill.,DS120xT14_16,leaf,none
1,A,3,Cassava,Manihot Mill.,DS120xT14_17,leaf,none
1,B,3,Cassava,Manihot Mill.,DS120xT14_18,leaf,none
1,C,3,Cassava,Manihot Mill.,DS120xT14_19,leaf,none
1,D,3,Cassava,Manihot Mill.,DS120xT14_20,leaf,none
1,E,3,Cassava,Manihot Mill.,DS120xT14_21,leaf,none
1,F,3,Cassava,Manihot Mill.,DS120xT14_22,leaf,none
1,G,3,Cassava,Manihot Mill.,DS120xT14_23,leaf,none
1,H,3,Cassava,Manihot Mill.,DS120xT14_24,leaf,none
1,A,4,Cassava,Manihot Mill.,DS120xT14_25,leaf,none
1,B,4,Cassava,Manihot Mill.,DS120xT14_26,leaf,none
1,C,4,Cassava,Manihot Mill.,DS120xT14_27,leaf,none
1,D,4,Cassava,Manihot Mill.,DS120xT14_28,leaf,none
1,E,4,Cassava,Manihot Mill.,DS120xT14_29,leaf,none
1,F,4,Cassava,Manihot Mill.,DS120xT14_30,leaf,none
1,G,4,Cassava,Manihot Mill.,DS120xT14_31,leaf,none
1,H,4,Cassava,Manihot Mill.,DS120xT14_32,leaf,none
1,A,5,Cassava,Manihot Mill.,DS120xT14_33,leaf,none
1,B,5,Cassava,Manihot Mill.,DS120xT14_34,leaf,none
1,C,5,Cassava,Manihot Mill.,DS120xT14_35,leaf,none
1,D,5,Cassava,Manihot Mill.,DS120xT14_36,leaf,none
1,E,5,Cassava,Manihot Mill.,DS120xT14_37,leaf,none
1,F,5,Cassava,Manihot Mill.,DS120xT14_38,leaf,none
1,G,5,Cassava,Manihot Mill.,DS120xT14_39,leaf,none
1,H,5,Cassava,Manihot Mill.,DS120xT14_40,leaf,none
1,A,6,Cassava,Manihot Mill.,DS120xT14_41,leaf,none
1,B,6,Cassava,Manihot Mill.,DS120xT14_42,leaf,none
1,C,6,Cassava,Manihot Mill.,DS120xT14_43,leaf,none
1,D,6,Cassava,Manihot Mill.,DS120xT14_44,leaf,none
1,E,6,Cassava,Manihot Mill.,DS120xT14_45,leaf,none
1,F,6,Cassava,Manihot Mill.,DS120xT14_46,leaf,none
1,G,6,Cassava,Manihot Mill.,DS120xT14_47,leaf,none
1,H,6,Cassava,Manihot Mill.,DS120xT14_48,leaf,none
1,A,7,Cassava,Manihot Mill.,DS120xT14_49,leaf,none
1,B,7,Cassava,Manihot Mill.,DS120xT14_50,leaf,none
1,C,7,Cassava,Manihot Mill.,DS120xT14_51,leaf,none
1,D,7,Cassava,Manihot Mill.,DS120xT14_52,leaf,none
1,E,7,Cassava,Manihot Mill.,DS120xT14_53,leaf,none
1,F,7,Cassava,Manihot Mill.,DS120xT14_54,leaf,none
1,G,7,Cassava,Manihot Mill.,DS120xT14_55,leaf,none
1,H,7,Cassava,Manihot Mill.,DS120xT14_56,leaf,none
1,A,8,Cassava,Manihot Mill.,DS120xT14_57,leaf,none
1,B,8,Cassava,Manihot Mill.,DS120xT14_58,leaf,none
1,C,8,Cassava,Manihot Mill.,DS120xT14_59,leaf,none
1,D,8,Cassava,Manihot Mill.,DS120xT14_60,leaf,none
1,E,8,Cassava,Manihot Mill.,DS120xT14_61,leaf,none
1,F,8,Cassava,Manihot Mill.,DS120xT14_62,leaf,none
1,G,8,Cassava,Manihot Mill.,DS120xT14_63,leaf,none
1,H,8,Cassava,Manihot Mill.,DS120xT14_64,leaf,none
1,A,9,Cassava,Manihot Mill.,DS120xT14_65,leaf,none
1,B,9,Cassava,Manihot Mill.,DS120xT14_66,leaf,none
1,C,9,Cassava,Manihot Mill.,DS120xT14_67,leaf,none
1,D,9,Cassava,Manihot Mill.,DS120xT14_68,leaf,none
1,E,9,Cassava,Manihot Mill.,DS120xT14_69,leaf,none
1,F,9,Cassava,Manihot Mill.,DS120xT14_70,leaf,none
1,G,9,Cassava,Manihot Mill.,DS120xT14_71,leaf,none
1,H,9,Cassava,Manihot Mill.,DS120xT14_72,leaf,none
1,A,10,Cassava,Manihot Mill.,DS120xT14_73,leaf,none
1,B,10,Cassava,Manihot Mill.,DS120xT14_74,leaf,none
1,C,10,Cassava,Manihot Mill.,DS120xT14_75,leaf,none
1,D,10,Cassava,Manihot Mill.,DS120xT14_76,leaf,none
1,E,10,Cassava,Manihot Mill.,DS120xT14_77,leaf,none
1,F,10,Cassava,Manihot Mill.,DS120xT14_78,leaf,none
1,G,10,Cassava,Manihot Mill.,DS120xT14_79,leaf,none
1,H,10,Cassava,Manihot Mill.,DS120xT14_80,leaf,none
1,A,11,Cassava,Manihot Mill.,DS120xT14_81,leaf,none
1,B,11,Cassava,Manihot Mill.,DS120xT14_82,leaf,none
1,C,11,Cassava,Manihot Mill.,DS120xT14_83,leaf,none
1,D,11,Cassava,Manihot Mill.,DS120xT14_84,leaf,none
1,E,11,Cassava,Manihot Mill.,DS120xT14_85,leaf,none
1,F,11,Cassava,Manihot Mill.,DS120xT14_86,leaf,none
1,G,11,Cassava,Manihot Mill.,DS120xT14_87,leaf,none
1,H,11,Cassava,Manihot Mill.,DS120xT14_88,leaf,none
1,A,12,Cassava,Manihot Mill.,DS120xT14_89,leaf,none
1,B,12,Cassava,Manihot Mill.,DS120xT14_90,leaf,none
1,C,12,Cassava,Manihot Mill.,DS120xT14_91,leaf,none
1,D,12,Cassava,Manihot Mill.,DS120xT14_92,leaf,none
1,E,12,Cassava,Manihot Mill.,DS120xT14_93,leaf,none
1,F,12,Cassava,Manihot Mill.,DS120xT14_94,leaf,none
2,A,1,Cassava,Manihot Mill.,DS120xT14_97,leaf,none
2,B,1,Cassava,Manihot Mill.,DS120xT14_98,leaf,none
2,C,1,Cassava,Manihot Mill.,DS120xT14_99,leaf,none
2,D,1,Cassava,Manihot Mill.,DS120xT14_100,leaf,none
2,E,1,Cassava,Manihot Mill.,DS120xT14_101,leaf,none
2,F,1,Cassava,Manihot Mill.,DS120xT14_102,leaf,none
2,G,1,Cassava,Manihot Mill.,DS120xT14_103,leaf,none
2,H,1,Cassava,Manihot Mill.,DS120xT14_104,leaf,none
2,A,2,Cassava,Manihot Mill.,DS120xT14_105,leaf,none
2,B,2,Cassava,Manihot Mill.,DS120xT14_106,leaf,none
2,C,2,Cassava,Manihot Mill.,DS120xT14_107,leaf,none
2,D,2,Cassava,Manihot Mill.,DS120xT14_108,leaf,none
2,E,2,Cassava,Manihot Mill.,DS120xT14_109,leaf,none
2,F,2,Cassava,Manihot Mill.,DS120xT14_110,leaf,none
2,G,2,Cassava,Manihot Mill.,DS120xT14_111,leaf,none
2,H,2,Cassava,Manihot Mill.,DS120xT14_112,leaf,none
2,A,3,Cassava,Manihot Mill.,DS120xT14_113,leaf,none
2,B,3,Cassava,Manihot Mill.,DS120xT14_114,leaf,none
2,C,3,Cassava,Manihot Mill.,DS120xT14_115,leaf,none
2,D,3,Cassava,Manihot Mill.,DS120xT14_116,leaf,none
2,E,3,Cassava,Manihot Mill.,DS120xT14_117,leaf,none
2,F,3,Cassava,Manihot Mill.,DS120xT14_118,leaf,none
2,G,3,Cassava,Manihot Mill.,DS120xT14_119,leaf,none
2,H,3,Cassava,Manihot Mill.,DS120xT14_120,leaf,none
2,A,4,Cassava,Manihot Mill.,DS120xT14_121,leaf,none
2,B,4,Cassava,Manihot Mill.,DS120xT14_122,leaf,none
2,C,4,Cassava,Manihot Mill.,DS120xT14_123,leaf,none
